Fid,Line,Flight,DateTime,Date,Time,Height,DTM,Lon,Lat,Alt,GdSpeed,Easting,Northing,MagRaw,Mag_interpolated,Drift_nl4,Drift_nl4_interpolated,Mag_driftremov,Mag_driftremov_1Ddrap,Mag_driftremovdrap_IGRFremov,Dec,Inc,IGRF
167543.7,500201,20141029.04,41941.9391631944,2014/10/29,22:32:24,43.0,604.9,-105.26235537,48.13662303,647.9,75.2,480481.205,5331518.769,,56002.219525,,2.47499999999927,55999.744525,55999.5865729022,-302.999416459417,9.30513000488281,72.7912682336344,56302.5859893616
167543.8,500201,20141029.04,41941.9391643518,2014/10/29,22:32:24,43.2,604.7,-105.26234751,48.13660467,647.9,74.9,480481.783,5331516.727,,56002.16755,,2.47999999999884,55999.68755,55999.5293091973,-303.056066878678,9.30512428283691,72.7912560686689,56302.585376076
167543.9,500201,20141029.04,41941.9391655093,2014/10/29,22:32:24,43.4,604.4,-105.26233965,48.13658631,647.8,74.7,480482.36,5331514.684,,56002.115575,,2.4849999999984,55999.630575,55999.4708562421,-303.116777666306,9.30511856079102,72.7912439591997,56302.5876339084
167544.0,500201,20141029.04,41941.9391666667,2014/10/29,22:32:24,43.6,604.2,-105.2623318,48.13656795,647.8,74.4,480482.938,5331512.641,56002.0636,56002.0636,2.48999999999796,2.48999999999796,55999.5736,55999.4126043295,-303.174415497931,9.3051118850708,72.791231792762,56302.5870198274
167544.1,500201,20141029.04,41941.9391678241,2014/10/29,22:32:24,43.8,604.0,-105.26232394,48.13655039,647.8,74.0,480483.515,5331510.687,56001.9049,56001.9049,,2.47977777777625,55999.4251222222,55999.3577738286,-303.228936364343,9.3051061630249,72.7912202128866,56302.586710193
167544.2,500201,20141029.04,41941.9391689815,2014/10/29,22:32:24,44.0,603.8,-105.26231609,48.13653283,647.8,73.7,480484.093,5331508.733,56001.9407,56001.9407,,2.46955555555453,55999.4711444444,55999.3066823481,-303.279717423022,9.305100440979,72.7912086315426,56302.5863997711
167544.3,500201,20141029.04,41941.9391701389,2014/10/29,22:32:24,44.2,603.6,-105.26230823,48.13651527,647.8,73.3,480484.671,5331506.78,56001.8677,56001.8677,,2.45933333333281,55999.4083666667,55999.2575800111,-303.328510112471,9.30509471893311,72.7911970516613,56302.5860901235
167544.4,500201,20141029.04,41941.9391712963,2014/10/29,22:32:24,44.4,603.4,-105.26230038,48.13649771,647.8,72.9,480485.249,5331504.826,56001.6995,56001.6995,,2.44911111111109,55999.2503888889,55999.2118991527,-303.373880535662,9.30508899688721,72.7911854703114,56302.5857796884
167544.5,500201,20141029.04,41941.9391724537,2014/10/29,22:32:25,44.6,603.2,-105.26229252,48.13648015,647.8,72.6,480485.826,5331502.872,,56001.714275,,2.43888888888937,55999.2753861111,55999.1729416545,-303.412528372974,9.30508232116699,72.7911738904242,56302.5854700275
167544.6,500201,20141029.04,41941.9391736111,2014/10/29,22:32:25,44.8,603.1,-105.26228467,48.13646259,647.8,72.2,480486.404,5331500.918,,56001.72905,,2.42866666666766,55999.3003833333,55999.1433703669,-303.43891808598,9.30507659912109,72.7911622535696,56302.5822884529
