LINE,X_UTM14N,Y_UTM14N,LAT_WGS84,LON_WGS84,DOI_SAMPL,DEM_SAMPL,ELEVATION_TOP[0],ELEVATION_TOP[1],ELEVATION_TOP[2],ELEVATION_TOP[3],ELEVATION_TOP[4],ELEVATION_TOP[5],ELEVATION_TOP[6],ELEVATION_TOP[7],ELEVATION_TOP[8],ELEVATION_TOP[9],ELEVATION_TOP[10],ELEVATION_TOP[11],ELEVATION_TOP[12],ELEVATION_TOP[13],ELEVATION_TOP[14],ELEVATION_TOP[15],ELEVATION_TOP[16],ELEVATION_TOP[17],ELEVATION_TOP[18],ELEVATION_TOP[19],ELEVATION_TOP[20],ELEVATION_TOP[21],ELEVATION_TOP[22],ELEVATION_TOP[23],ELEVATION_TOP[24],ELEVATION_TOP[25],ELEVATION_TOP[26],ELEVATION_TOP[27],RES2_REF30_ABOVE_DOI_SAMPL[0],RES2_REF30_ABOVE_DOI_SAMPL[1],RES2_REF30_ABOVE_DOI_SAMPL[2],RES2_REF30_ABOVE_DOI_SAMPL[3],RES2_REF30_ABOVE_DOI_SAMPL[4],RES2_REF30_ABOVE_DOI_SAMPL[5],RES2_REF30_ABOVE_DOI_SAMPL[6],RES2_REF30_ABOVE_DOI_SAMPL[7],RES2_REF30_ABOVE_DOI_SAMPL[8],RES2_REF30_ABOVE_DOI_SAMPL[9],RES2_REF30_ABOVE_DOI_SAMPL[10],RES2_REF30_ABOVE_DOI_SAMPL[11],RES2_REF30_ABOVE_DOI_SAMPL[12],RES2_REF30_ABOVE_DOI_SAMPL[13],RES2_REF30_ABOVE_DOI_SAMPL[14],RES2_REF30_ABOVE_DOI_SAMPL[15],RES2_REF30_ABOVE_DOI_SAMPL[16],RES2_REF30_ABOVE_DOI_SAMPL[17],RES2_REF30_ABOVE_DOI_SAMPL[18],RES2_REF30_ABOVE_DOI_SAMPL[19],RES2_REF30_ABOVE_DOI_SAMPL[20],RES2_REF30_ABOVE_DOI_SAMPL[21],RES2_REF30_ABOVE_DOI_SAMPL[22],RES2_REF30_ABOVE_DOI_SAMPL[23],RES2_REF30_ABOVE_DOI_SAMPL[24],RES2_REF30_ABOVE_DOI_SAMPL[25],RES2_REF30_ABOVE_DOI_SAMPL[26],RES2_REF30_ABOVE_DOI_SAMPL[27]
10010,678768.15,4852635.79,43.48.18.6544,-96.46.39.1241,97.65,480.88,480.88,479.87,478.73,477.44,475.97,474.3,472.41,470.27,467.84,465.09,461.97,458.42,454.41,449.85,444.69,438.83,432.18,424.65,416.11,406.42,395.43,382.97,368.84,352.82,334.65,314.04,290.67,264.17,137.91,121.92,94.51,64.21,39.51,24.98,21.11,28.09,48.49,86.11,141.48,208.23,270.75,302.92,274.45,177.98,66.71,12.02,7.4,24.42,57.5,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678769.85,4852636.03,43.48.18.6607,-96.46.39.0476,97.57,480.91,480.91,479.9,478.76,477.46,475.99,474.33,472.44,470.3,467.87,465.11,461.99,458.45,454.43,449.88,444.71,438.85,432.21,424.68,416.13,406.44,395.46,383.0,368.87,352.84,334.67,314.06,290.69,264.19,141.76,125.22,96.86,65.48,39.92,24.88,20.74,27.62,47.92,85.59,142.64,214.92,286.73,326.87,297.49,189.72,65.53,8.38,8.99,30.35,78.01,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678771.55,4852636.27,43.48.18.6670,-96.46.38.9712,97.5,480.91,480.91,479.91,478.76,477.47,476.0,474.33,472.45,470.3,467.87,465.12,462.0,458.46,454.44,449.88,444.72,438.86,432.22,424.68,416.14,406.45,395.46,383.0,368.87,352.85,334.68,314.07,290.7,264.2,147.66,130.29,100.48,67.5,40.67,24.89,20.43,27.22,47.52,85.2,142.06,213.7,284.28,323.2,294.14,189.15,67.04,8.79,9.16,30.59,76.13,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678773.25,4852636.51,43.48.18.6732,-96.46.38.8947,97.42,480.94,480.94,479.93,478.79,477.49,476.02,474.36,472.47,470.33,467.9,465.14,462.02,458.48,454.46,449.91,444.74,438.88,432.24,424.71,416.16,406.47,395.49,383.03,368.9,352.87,334.7,314.09,290.72,264.22,154.05,135.77,104.38,69.66,41.45,24.89,20.08,26.7,46.86,84.42,141.23,212.61,282.04,318.65,287.97,184.98,66.71,8.91,9.42,30.86,73.85,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678774.96,4852636.75,43.48.18.6795,-96.46.38.8183,97.35,480.94,480.94,479.94,478.79,477.5,476.03,474.37,472.48,470.33,467.91,465.15,462.03,458.49,454.47,449.91,444.75,438.89,432.25,424.71,416.17,406.48,395.49,383.03,368.9,352.88,334.71,314.1,290.73,264.23,162.06,142.76,109.53,72.7,42.74,25.09,19.7,25.91,45.62,82.9,139.96,211.95,281.24,315.68,282.02,179.31,64.78,8.63,9.87,32.2,74.6,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678776.66,4852636.99,43.48.18.6858,-96.46.38.7418,97.27,480.97,480.97,479.96,478.82,477.52,476.06,474.39,472.5,470.36,467.93,465.18,462.05,458.51,454.5,449.94,444.77,438.92,432.27,424.74,416.2,406.51,395.52,383.06,368.93,352.91,334.73,314.13,290.76,264.26,170.64,150.41,115.43,76.46,44.57,25.6,19.41,24.96,43.88,80.53,137.67,210.57,280.4,313.49,277.24,173.98,62.09,8.0,10.52,35.08,80.01,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678778.36,4852637.23,43.48.18.6920,-96.46.38.6654,97.19,480.99,480.99,479.99,478.84,477.55,476.08,474.42,472.53,470.38,467.96,465.2,462.08,458.54,454.52,449.96,444.8,438.94,432.3,424.76,416.22,406.53,395.54,383.08,368.95,352.93,334.76,314.15,290.78,264.28,179.36,158.56,122.28,81.37,47.39,26.77,19.51,24.0,41.26,75.35,128.77,196.34,259.91,289.3,257.29,167.57,68.78,14.83,7.16,25.72,57.8,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678780.03,4852637.4,43.48.18.6962,-96.46.38.5908,97.11,481.0,481.0,480.0,478.85,477.56,476.09,474.42,472.54,470.39,467.97,465.21,462.09,458.55,454.53,449.97,444.81,438.95,432.31,424.77,416.23,406.54,395.55,383.09,368.96,352.94,334.77,314.16,290.79,264.29,188.02,166.54,128.88,86.08,50.14,27.95,19.64,23.36,39.73,72.47,123.65,187.4,245.32,269.12,235.92,151.89,61.51,12.77,7.51,28.1,65.39,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678781.69,4852637.57,43.48.18.7003,-96.46.38.5163,97.03,481.05,481.05,480.05,478.9,477.61,476.14,474.48,472.59,470.45,468.02,465.26,462.14,458.6,454.58,450.03,444.86,439.0,432.36,424.82,416.28,406.59,395.61,383.15,369.02,352.99,334.82,314.21,290.84,264.34,196.16,173.84,134.68,90.12,52.53,29.07,19.87,23.09,39.27,71.32,118.92,173.39,217.31,230.46,199.76,129.84,51.41,8.78,9.17,24.18,47.6,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678783.35,4852637.74,43.48.18.7044,-96.46.38.4417,96.95,481.1,481.1,480.1,478.96,477.66,476.19,474.53,472.64,470.5,468.07,465.31,462.19,458.65,454.63,450.08,444.91,439.05,432.41,424.88,416.33,406.64,395.66,383.2,369.07,353.04,334.87,314.26,290.89,264.39,202.5,180.29,140.88,95.28,55.95,30.64,19.96,21.81,36.67,69.05,122.43,191.7,257.89,290.89,263.91,177.26,74.75,15.61,5.57,23.41,78.1,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
