date,flight,Line,fiducial,Direction,GPS_Lon_Corr,GPS_Lat_Corr,GPS_Z_Corr,X,Y,Radar_Alt,dem,BaseMag_1,Mag_B_Lag,Mag_DiurCorr1,mag_anom,mag_level,igrf
17255,27,5010,37.6,326,-98.93068158556,36.15474205788,887.096400000001,506235.276403014,4001114.05675567,358.255060272538,524.252814571133,49599.4572611405,50671.058,50686.6007388595,62.8339173131535,50665.1852251287,50602.3513078156
17255,27,5010,37.7,326,-98.93072552222,36.15479547066,887.044300000002,506231.32002001,4001119.97834834,358.18160539399,524.756053538528,49599.4577388503,50671.082,50686.6242611497,62.8295113983186,50665.2092251287,50602.3797137304
17255,27,5010,37.8,326,-98.93076945888,36.15484888344,886.992199999999,506227.36364236,4001125.89994285,358.220348000326,525.288619734416,49599.4582234484,50671.105,50686.6467765516,62.8241055256731,50665.2322251287,50602.4081196031
17255,27,5010,37.9,326,-98.93081339554,36.15490229622,886.940099999999,506223.407270069,4001131.8215392,358.349241001782,525.850260009531,49599.4587154163,50671.129,50686.6702845837,62.8196996951228,50665.2562251287,50602.4365254336
17255,27,5010,38.0,326,-98.9308573322,36.154955709,886.888,506219.450903132,4001137.74313739,358.542553920732,526.441181492954,49599.4592152117,50671.152,50686.6927847883,62.8142939067475,50665.2792251287,50602.464931222
17255,27,5010,38.1,326,-98.93090141095,36.15500933761,886.711100000003,506215.481743392,4001143.68866765,358.782322739289,527.063157898864,49599.4597232658,50671.175,50686.7152767342,62.8055615693593,50665.3022251287,50602.4966635594
17255,27,5010,38.2,326,-98.9309454897,36.15506296622,886.534200000005,506211.512589045,4001149.63419976,359.057361825066,527.540960610847,49599.4602399818,50671.195,50686.7347600182,62.7938292705949,50665.3222251287,50602.5283958581
17255,27,5010,38.3,326,-98.93098956845,36.15511659483,886.357299999995,506207.543440095,4001155.57973372,359.354285343385,527.819173692016,49599.4607657318,50671.213,50686.7522342682,62.7800970104072,50665.3402251287,50602.5601281183
17255,27,5010,38.4,326,-98.9310336472,36.15517022344,886.180399999997,506203.574296539,4001161.52526953,359.65368950438,528.05896732535,49599.4613008559,50671.23,50686.7686991441,62.7653647889092,50665.3572251287,50602.5918603398
17255,27,5010,38.5,326,-98.93107772595,36.15522385205,886.0035,506199.605158379,4001167.47080718,359.931465528072,528.26011613737,49599.4618456595,50671.248,50686.7861543405,62.751632605934,50665.3752251287,50602.6235925228
17255,27,5010,38.6,326,-98.9311218047,36.15527748066,885.826600000003,506195.636025615,4001173.41634669,360.157695553905,528.42277609138,49599.4624004124,50671.27,50686.8075995876,62.7419004616095,50665.3972251287,50602.6553246671
17255,27,5010,38.7,326,-98.93116588345,36.15533110927,885.649700000005,506191.666898245,4001179.36188805,360.298209803124,528.546733117341,49599.4629653464,50671.292,50686.8290346536,62.7321683560003,50665.4192251287,50602.6870567727
17255,27,5010,38.8,326,-98.9312099622,36.15538473788,885.472799999995,506187.697776272,4001185.30743125,360.3214806522,528.632124441135,49599.4635406548,50671.315,50686.8514593452,62.7234362888848,50665.4422251287,50602.7187888399
17255,27,5010,38.9,326,-98.93125404095,36.15543836649,885.295899999997,506183.728659693,4001191.25297631,360.209731185919,528.678748236738,49599.4641264905,50671.335,50686.8708735095,62.7117042605387,50665.4622251287,50602.7505208682
17255,27,5010,39.0,326,-98.9312981197,36.1554919951,885.119,506179.75954851,4001197.19852321,359.969033694446,528.686722324881,49599.4647229653,50671.354,50686.8892770347,62.6989722706421,50665.4812251287,50602.7822528581
17255,27,5010,39.1,326,-98.93134265734,36.15554582094,884.845900000004,506175.749149954,4001203.16591905,359.630865630187,528.6573775345,49599.4653301488,50671.371,50686.9056698512,62.681449039701,50665.4979922366,50602.8165431969
17255,27,5010,39.2,326,-98.93138719498,36.15559964678,884.572800000008,506171.738756868,4001209.13331677,359.243995084711,528.302050188324,49599.4659480674,50671.388,50686.9220519326,62.6639253090252,50665.5147588088,50602.8508334998
17255,27,5010,39.3,326,-98.93143173262,36.15565347262,884.299699999992,506167.728369256,4001215.10071639,358.858187201388,527.883355100395,49599.4665767039,50671.403,50686.9364232961,62.6444010797131,50665.5295248467,50602.885123767
17255,27,5010,39.4,326,-98.93147627026,36.15570729846,884.026599999996,506163.717987112,4001221.06811789,358.50679155166,527.498977219803,49599.4672159969,50671.416,50686.9487840031,62.6228763529653,50665.5422903513,50602.9194139984
17255,27,5010,39.5,326,-98.9315208079,36.1557611243,883.7535,506159.707610443,4001227.03552127,358.194572209438,527.148756214514,49599.4678658402,50671.428,50686.9601341598,62.600351129935,50665.554055324,50602.953704194
17255,27,5010,39.6,326,-98.93156534554,36.15581495014,883.480400000004,506155.697239246,4001233.00292655,357.88868028668,526.862886254442,49599.468526083,50671.439,50686.970473917,62.5768254118375,50665.5648197657,50602.9879943539
17255,27,5010,39.7,326,-98.93160988318,36.15586877598,883.207300000008,506151.686873519,4001238.97033371,357.525699086332,526.715567072207,49599.4691965297,50671.448,50686.9788034703,62.5512991998548,50665.5735836778,50603.0222844779
17255,27,5010,39.8,326,-98.93165442082,36.15592260182,882.934199999992,506147.676513264,4001244.93774276,357.037677074962,526.577575609151,49599.4698769402,50671.456,50686.9861230598,62.5247724951187,50665.5813470613,50603.0565745662
17255,27,5010,39.9,326,-98.93169895846,36.15597642766,882.661099999996,506143.666158481,4001250.9051537,356.380188683242,526.448782627615,49599.47056703,50671.463,50686.99243297,62.4972452988077,50665.5881099176,50603.0908646188
